"Rank","Name","Team","POS","G","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","EZTGT","EZTD","MTF","MTF/REC","1D","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","1READ","1READ %","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR"
"195","Byron Pringle","CHI","WR","11","131","43.0%","15.3","229","14.2%","15","6.4%","0.11","10","66.7%","135","12.3","8.6%","1.03","9.00","13.50","19","1.90","3","0.30","2","18.2%","2","1","0","0.00","8","0","0.0%","10","66.7%","0","0.0%","3","3","100.0%","1","106.9","8","5.5%","14.7%","-0.4","74.0%","24.4%","1.5%","0.0%","0.27","3.2","35.5","28.9","2.6","0.22"
"196","Jeff Smith","NYJ","WR","11","62","14.6%","12.7","140","6.7%","11","2.9%","0.18","8","72.7%","134","12.2","5.3%","2.16","12.18","16.75","42","5.25","7","0.88","0","0.0%","1","0","1","0.13","5","0","0.0%","9","81.8%","1","9.1%","1","0","0.0%","0","75.6","11","4.9%","21.2%","3.6","71.0%","27.4%","1.6%","0.0%","0.35","1.9","21.4","19.1","1.7","0.31"
"197","Zach Gentry","PIT","TE","17","162","25.3%","2.7","63","1.1%","23","4.0%","0.14","19","82.6%","132","7.8","3.6%","0.81","5.74","6.95","108","5.68","51","2.68","0","0.0%","1","0","0","0.00","6","1","4.3%","21","91.3%","5","21.7%","5","3","60.0%","0","90.6","15","4.0%","11.9%","-0.7","1.9%","6.8%","91.4%","0.0%","0.20","1.9","32.2","41.2","2.4","0.25"
"198","Tanner Hudson","NYG","TE","11","144","36.7%","7.1","106","6.5%","15","4.7%","0.10","10","66.7%","132","12.0","6.1%","0.92","8.80","13.20","63","6.30","20","2.00","0","0.0%","0","0","0","0.00","8","1","6.7%","14","93.3%","0","0.0%","3","0","0.0%","0","94.3","5","2.7%","12.2%","1.3","25.7%","31.3%","38.9%","4.2%","0.16","2.1","23.2","21.9","2.0","0.15"
"199","Donald Parham","LAC","TE","6","58","22.6%","11.2","134","13.2%","12","5.0%","0.21","10","83.3%","130","21.7","8.4%","2.24","10.83","13.00","44","4.40","14","1.40","1","16.7%","2","1","0","0.00","5","0","0.0%","11","91.7%","0","0.0%","2","1","50.0%","0","139.6","9","6.0%","18.5%","2.2","22.4%","37.9%","37.9%","1.7%","0.50","4.8","29.0","23.2","3.9","0.40"
"200","Durham Smythe","MIA","TE","16","133","22.9%","4.2","79","2.8%","19","3.5%","0.14","15","78.9%","129","8.1","3.0%","0.97","6.79","8.60","56","3.73","22","1.47","1","3.6%","1","1","0","0.00","7","0","0.0%","17","89.5%","1","5.3%","2","1","50.0%","0","112.5","10","2.8%","9.5%","0.2","9.0%","18.8%","69.2%","3.0%","0.30","2.5","40.0","35.1","2.2","0.23"
"201","Brevin Jordan","HST","TE","11","126","30.4%","7.8","211","3.7%","27","7.1%","0.21","14","51.9%","128","11.6","5.5%","1.02","4.74","9.14","82","5.86","29","2.07","0","0.0%","1","0","0","0.00","7","1","3.7%","19","70.4%","2","7.4%","2","1","50.0%","0","34.2","20","8.2%","21.4%","-2.8","16.7%","36.5%","43.7%","3.2%","0.21","2.4","26.8","44.3","4.0","0.35"
"202","Jack Stoll","PHI","TE","17","177","28.3%","6.2","87","3.1%","14","2.6%","0.08","11","78.6%","123","7.2","2.8%","0.69","8.79","11.18","51","4.64","20","1.82","0","0.0%","0","0","0","0.00","5","0","0.0%","11","78.6%","0","0.0%","1","1","100.0%","0","103.3","10","2.6%","7.5%","1.7","9.6%","33.3%","57.1%","0.0%","0.13","1.4","23.3","24.3","1.4","0.14"
"203","T.Y. Hilton","DAL","WR","3","35","26.9%","17.0","170","18.8%","10","8.8%","0.29","7","70.0%","121","40.3","16.0%","3.46","12.10","17.29","34","4.86","23","3.29","0","0.0%","0","0","1","0.14","5","1","10.0%","9","90.0%","0","0.0%","3","2","66.7%","0","110.8","7","9.0%","33.3%","3.4","60.0%","40.0%","0.0%","0.0%","0.55","6.4","19.1","17.2","5.7","0.49"
"204","Lawrence Cager","NYJ, NYG","WR","7","101","34.9%","6.1","110","4.8%","18","7.0%","0.18","13","72.2%","118","16.9","7.5%","1.17","6.56","9.08","79","6.08","27","2.08","1","16.7%","0","0","2","0.15","8","1","5.6%","14","77.8%","1","5.6%","1","0","0.0%","0","68.5","11","8.5%","19.8%","-0.9","22.8%","45.5%","30.7%","1.0%","0.30","4.4","30.8","28.8","4.1","0.29"
"205","Pharaoh Brown","HST, CLV","TE","16","103","17.4%","6.7","127","1.6%","19","3.7%","0.18","12","63.2%","117","7.3","3.3%","1.14","6.16","9.75","84","7.00","36","3.00","0","0.0%","1","0","0","0.00","6","1","5.3%","13","68.4%","2","10.5%","3","2","66.7%","1","58.4","12","3.5%","16.1%","-1.3","9.7%","25.2%","64.1%","1.0%","0.23","1.5","23.7","30.6","1.9","0.30"
"206","N'Keal Harry","CHI","WR","7","66","30.4%","16.3","147","15.2%","9","5.2%","0.14","7","77.8%","116","16.6","10.8%","1.76","12.89","16.57","18","2.57","6","0.86","1","11.1%","0","0","0","0.00","4","0","0.0%","8","88.9%","1","11.1%","4","3","75.0%","1","155.8","7","5.9%","17.0%","3.4","77.3%","22.7%","0.0%","0.0%","0.37","3.5","24.6","16.8","2.4","0.26"
"207","Josiah Deguara","GB","TE","17","79","13.0%","3.3","50","2.7%","15","2.7%","0.19","13","86.7%","114","6.7","2.9%","1.44","7.60","8.77","64","4.92","11","0.85","0","0.0%","0","0","1","0.08","4","1","6.7%","14","93.3%","4","26.7%","1","1","100.0%","0","98.3","9","2.4%","15.0%","0.9","12.7%","44.3%","27.8%","15.2%","0.31","1.4","24.4","21.8","1.3","0.28"
"208","Teagan Quitoriano","HST","TE","9","97","29.1%","12.9","168","6.8%","13","4.4%","0.13","7","53.8%","113","12.6","5.9%","1.16","8.69","16.14","55","7.86","21","3.00","2","16.7%","3","2","0","0.00","5","1","7.7%","9","69.2%","0","0.0%","1","1","100.0%","0","90.7","11","5.7%","9.9%","-0.1","6.2%","16.5%","77.3%","0.0%","0.31","3.4","30.3","26.1","2.9","0.27"
"209","James Mitchell","DET","TE","14","66","13.0%","5.3","58","3.2%","11","2.3%","0.17","11","100.0%","113","8.1","3.1%","1.71","10.27","10.27","62","5.64","19","1.73","1","4.5%","1","1","1","0.09","7","0","0.0%","11","100.0%","0","0.0%","0","0","0.0%","0","139.8","7","2.3%","14.9%","3.5","22.7%","19.7%","56.1%","1.5%","0.43","2.0","28.3","16.8","1.2","0.25"
"210","Breshad Perriman","TB","WR","11","122","26.2%","14.4","274","4.5%","19","4.3%","0.16","9","47.4%","110","10.0","4.0%","0.90","5.79","12.22","54","6.00","20","2.22","1","6.7%","3","1","2","0.22","5","2","10.5%","14","73.7%","3","15.8%","6","0","0.0%","0","83.2","15","4.6%","14.7%","-2.7","70.5%","29.5%","0.0%","0.0%","0.20","2.2","24.3","32.6","3.0","0.26"
"211","Brycen Hopkins","LA","TE","14","74","15.4%","10.4","114","5.6%","11","2.7%","0.15","7","63.6%","109","7.8","4.1%","1.47","9.91","15.57","32","4.57","18","2.57","0","0.0%","0","0","2","0.29","5","1","9.1%","8","72.7%","0","0.0%","1","1","100.0%","0","96.4","7","2.5%","16.4%","1.5","28.4%","10.8%","58.1%","2.7%","0.24","1.3","17.9","17.5","1.3","0.24"
"212","John Bates","WAS","TE","16","121","20.0%","6.0","127","2.8%","21","3.9%","0.17","14","66.7%","108","6.8","2.9%","0.89","5.14","7.71","53","3.79","14","1.00","1","4.2%","2","1","1","0.07","4","2","9.5%","18","85.7%","1","4.8%","1","0","0.0%","0","94.9","11","3.2%","13.7%","-2.0","5.0%","38.8%","52.1%","4.1%","0.25","1.9","30.8","33.9","2.1","0.28"
"213","Joe Fortson","KC","TE","13","91","16.9%","8.5","111","4.1%","13","2.7%","0.14","9","69.2%","108","8.3","2.7%","1.19","8.31","12.00","39","4.33","14","1.56","2","5.9%","4","1","0","0.00","6","0","0.0%","10","76.9%","1","7.7%","1","0","0.0%","0","134.0","10","3.2%","15.1%","0.6","34.1%","49.5%","16.5%","0.0%","0.34","2.4","30.8","33.3","2.6","0.37"
"214","Velus Jones","CHI","WR","12","68","18.0%","19.1","229","5.7%","12","4.2%","0.18","7","58.3%","107","8.9","5.3%","1.57","8.92","15.29","42","6.00","15","2.14","1","8.3%","0","0","0","0.00","4","1","8.3%","9","75.0%","4","33.3%","4","1","25.0%","0","115.6","11","5.9%","26.1%","-1.2","79.4%","20.6%","0.0%","0.0%","0.54","3.1","37.0","25.8","2.2","0.31"
"215","David Sills","NYG","WR","9","113","35.1%","7.9","135","9.0%","17","6.7%","0.15","11","64.7%","106","11.8","6.6%","0.94","6.24","9.64","38","3.45","23","2.09","0","0.0%","0","0","3","0.27","7","1","5.9%","12","70.6%","0","0.0%","2","1","50.0%","0","57.5","11","7.1%","18.7%","-1.3","82.3%","16.8%","0.9%","0.0%","0.19","2.4","21.6","29.3","3.3","0.26"
"216","Ross Dwelley","SF","TE","10","43","13.1%","14.6","73","6.2%","5","1.7%","0.12","3","60.0%","105","10.5","4.5%","2.44","21.00","35.00","40","13.33","13","4.33","1","5.9%","0","0","0","0.00","3","0","0.0%","4","80.0%","0","0.0%","2","1","50.0%","0","143.8","4","2.0%","11.6%","12.3","11.6%","46.5%","37.2%","4.7%","0.45","2.0","19.5","7.8","0.8","0.18"
"217","Steven Sims","PIT","WR","12","147","32.8%","5.6","123","2.6%","22","5.5%","0.15","14","63.6%","104","8.7","4.0%","0.71","4.73","7.43","64","4.57","22","1.57","0","0.0%","1","0","2","0.14","5","1","4.5%","17","77.3%","6","27.3%","3","1","33.3%","0","74.8","16","6.2%","17.6%","-2.2","25.2%","73.5%","1.4%","0.0%","0.21","2.6","31.4","40.8","3.4","0.23"
"218","Jalen Reagor","MIN","WR","17","48","6.5%","13.6","177","2.9%","13","1.9%","0.27","8","61.5%","104","6.1","2.2%","2.17","8.00","13.00","25","3.13","12","1.50","1","3.3%","0","0","2","0.25","5","0","0.0%","8","61.5%","3","23.1%","1","1","100.0%","0","72.8","11","2.4%","27.7%","-0.9","58.3%","39.6%","0.0%","2.1%","0.56","1.6","26.9","25.0","1.5","0.49"
"219","Peyton Hendershot","DAL","TE","17","98","16.3%","7.1","107","2.8%","15","2.7%","0.15","11","73.3%","103","6.1","2.6%","1.05","6.87","9.36","49","4.45","13","1.18","2","7.1%","2","2","2","0.18","8","1","6.7%","13","86.7%","3","20.0%","2","2","100.0%","0","103.6","13","3.4%","15.0%","-0.9","8.2%","51.0%","39.8%","1.0%","0.40","2.3","39.5","31.7","1.9","0.30"
"220","River Cracraft","MIA","WR","11","78","17.8%","9.1","127","4.3%","14","3.5%","0.18","9","64.3%","102","9.3","3.3%","1.31","7.29","11.33","28","3.11","7","0.78","2","11.8%","3","2","0","0.00","8","0","0.0%","9","64.3%","0","0.0%","1","1","100.0%","0","95.8","10","4.0%","20.3%","-0.7","66.7%","32.1%","0.0%","1.3%","0.40","2.8","31.2","31.2","2.8","0.40"
"221","Anthony Firkser","ATL","TE","11","83","24.8%","8.3","108","7.0%","13","4.5%","0.16","9","69.2%","100","9.1","5.1%","1.20","7.69","11.11","21","2.33","10","1.11","0","0.0%","0","0","0","0.00","5","0","0.0%","9","69.2%","0","0.0%","3","2","66.7%","0","91.8","11","5.3%","16.9%","-0.1","14.5%","72.3%","13.3%","0.0%","0.23","1.7","19.0","21.1","1.9","0.25"
"222","Giovanni Ricci","CAR","TE","15","50","11.0%","4.7","42","3.0%","9","2.2%","0.18","8","88.9%","100","6.7","3.5%","2.00","11.11","12.50","63","7.88","24","3.00","0","0.0%","0","0","3","0.38","3","0","0.0%","9","100.0%","0","0.0%","3","2","66.7%","0","113.0","6","2.3%","13.6%","4.4","6.0%","22.0%","62.0%","10.0%","0.36","1.2","18.0","14.0","0.9","0.28"
"223","Marcus Johnson","NYG","WR","14","171","33.7%","12.3","259","4.5%","21","4.9%","0.12","9","42.9%","99","7.1","3.4%","0.58","4.71","11.00","36","4.00","14","1.56","0","0.0%","2","0","0","0.00","6","3","14.3%","14","66.7%","1","4.8%","3","1","33.3%","0","57.4","15","5.9%","14.4%","-4.0","87.7%","12.3%","0.0%","0.0%","0.11","1.4","18.9","41.2","2.9","0.24"
"224","Albert Okwuegbunam","DEN","TE","8","122","39.4%","6.1","104","3.5%","17","6.4%","0.14","10","58.8%","95","11.9","4.7%","0.78","5.59","9.50","58","5.80","32","3.20","1","11.1%","1","1","3","0.30","4","2","11.8%","14","82.4%","1","5.9%","5","2","40.0%","0","94.0","11","6.8%","15.2%","-1.2","18.0%","52.5%","29.5%","0.0%","0.21","3.2","25.5","27.6","3.4","0.23"
"225","Michael Bandy","LAC","WR","10","130","26.9%","11.1","188","5.2%","17","3.9%","0.13","10","58.8%","89","8.9","3.2%","0.68","5.24","8.90","23","2.30","2","0.20","0","0.0%","0","0","0","0.00","5","0","0.0%","13","76.5%","0","0.0%","4","1","25.0%","0","72.9","9","3.6%","14.3%","-2.6","81.5%","18.5%","0.0%","0.0%","0.15","1.9","18.9","27.0","2.7","0.21"
"226","Cam Sims","WAS","WR","17","156","24.8%","14.7","235","3.2%","16","2.9%","0.10","8","50.0%","89","5.2","2.4%","0.57","5.56","11.13","22","2.75","9","1.13","0","0.0%","2","0","0","0.00","5","0","0.0%","11","68.8%","0","0.0%","5","2","40.0%","0","40.9","13","3.7%","11.0%","-3.8","76.9%","23.1%","0.0%","0.0%","0.11","1.0","16.9","30.5","1.8","0.20"
"227","Parker Hesse","ATL","TE","17","115","23.5%","5.7","63","3.0%","11","2.7%","0.10","9","81.8%","89","5.2","3.0%","0.77","8.09","9.89","38","4.22","11","1.22","0","0.0%","0","0","0","0.00","6","0","0.0%","11","100.0%","0","0.0%","2","1","50.0%","0","100.4","7","2.4%","5.7%","1.1","10.4%","27.0%","57.4%","5.2%","0.16","1.1","17.9","18.1","1.1","0.16"
"228","Quintin Morris","BUF","TE","14","119","20.4%","8.2","74","1.9%","9","1.8%","0.08","8","88.9%","84","6.0","2.2%","0.71","9.33","10.50","40","5.00","6","0.75","1","3.3%","2","1","0","0.00","6","0","0.0%","8","88.9%","1","11.1%","0","0","0.0%","1","142.6","6","1.9%","7.1%","1.1","25.2%","42.9%","29.4%","2.5%","0.18","1.5","21.4","18.6","1.3","0.16"
"229","Samori Toure","GB","WR","11","71","19.0%","19.8","178","6.0%","9","2.6%","0.13","5","55.6%","82","7.5","3.4%","1.15","9.11","16.40","11","2.20","5","1.00","1","5.6%","1","1","0","0.00","2","1","11.1%","7","77.8%","1","11.1%","1","0","0.0%","0","123.4","4","1.7%","13.6%","-1.0","39.4%","60.6%","0.0%","0.0%","0.27","1.7","19.2","19.0","1.7","0.27"
"230","Grant Calcaterra","PHI","TE","14","67","13.3%","9.9","79","2.1%","8","1.8%","0.12","5","62.5%","81","5.8","2.3%","1.21","10.13","16.20","41","8.20","25","5.00","0","0.0%","1","0","1","0.20","3","1","12.5%","6","75.0%","0","0.0%","0","0","0.0%","0","96.4","7","2.1%","11.1%","0.7","14.9%","40.3%","44.8%","0.0%","0.20","0.9","13.1","14.9","1.1","0.22"
"231","Kenny Golladay","NYG","WR","11","131","32.5%","10.2","173","6.9%","17","5.1%","0.13","6","35.3%","81","7.4","3.8%","0.62","4.76","13.50","14","2.33","7","1.17","1","8.3%","2","1","0","0.00","4","2","11.8%","11","64.7%","0","0.0%","9","4","44.4%","1","71.0","8","4.6%","14.8%","-3.3","79.4%","20.6%","0.0%","0.0%","0.15","1.8","20.1","30.6","2.8","0.23"
"232","Ko Kieft","TB","TE","17","51","6.6%","5.4","54","1.9%","10","1.3%","0.20","7","70.0%","80","4.7","1.7%","1.57","8.00","11.43","35","5.00","13","1.86","1","3.8%","0","0","0","0.00","5","3","30.0%","10","100.0%","0","0.0%","1","1","100.0%","0","127.1","7","1.3%","13.3%","1.0","0.0%","0.0%","66.7%","33.3%","0.41","1.2","21.0","17.9","1.1","0.35"
"233","Eric Tomlinson","DEN","TE","17","91","13.7%","5.8","75","1.9%","13","2.3%","0.14","9","69.2%","79","4.6","2.0%","0.87","6.08","8.78","46","5.11","15","1.67","2","11.1%","4","2","0","0.00","5","0","0.0%","10","76.9%","0","0.0%","1","1","100.0%","1","124.7","7","2.2%","10.1%","-0.9","2.2%","9.9%","87.9%","0.0%","0.32","1.7","28.9","28.0","1.6","0.31"
"234","Kyle Philips","TEN","WR","4","46","38.3%","7.2","94","13.9%","13","12.6%","0.28","8","61.5%","78","19.5","11.0%","1.70","6.00","9.75","23","2.88","15","1.88","0","0.0%","0","0","0","0.00","3","2","15.4%","11","84.6%","1","7.7%","4","2","50.0%","1","78.4","10","16.4%","37.1%","-1.3","37.0%","58.7%","0.0%","4.3%","0.30","3.5","13.8","21.4","5.3","0.46"
"235","Taysom Hill","NO","TE","16","119","22.8%","6.4","77","1.9%","12","2.5%","0.10","9","75.0%","77","4.8","2.1%","0.65","6.42","8.56","38","4.22","14","1.56","2","8.7%","1","0","2","0.22","5","1","8.3%","12","100.0%","2","16.7%","2","0","0.0%","0","130.9","7","2.3%","11.4%","-0.9","44.5%","26.1%","27.7%","1.7%","1.23","9.1","145.8","80.5","5.0","0.20"
"236","Jalen Virgil","DEN","WR","9","43","12.3%","18.8","75","3.0%","4","1.3%","0.09","2","50.0%","75","8.3","3.6%","1.74","18.75","37.50","43","21.50","1","0.50","1","8.3%","1","0","0","0.00","2","0","0.0%","2","50.0%","0","0.0%","0","0","0.0%","0","135.4","3","1.8%","11.8%","8.3","76.7%","23.3%","0.0%","0.0%","0.34","1.6","14.5","7.6","0.8","0.18"
"237","Freddie Swain","DEN, MIA","WR","4","61","44.5%","10.8","65","9.1%","6","5.3%","0.10","4","66.7%","74","18.5","8.4%","1.21","12.33","18.50","28","7.00","5","1.25","0","0.0%","0","0","0","0.00","3","0","0.0%","4","66.7%","1","16.7%","0","0","0.0%","0","69.4","4","5.1%","12.2%","4.3","27.9%","70.5%","1.6%","0.0%","0.19","2.9","11.4","10.0","2.5","0.16"
"238","Kevin White","NO","WR","7","70","27.7%","18.0","90","0.7%","5","2.2%","0.07","2","40.0%","74","10.6","4.4%","1.06","14.80","37.00","68","34.00","39","19.50","0","0.0%","0","0","1","0.50","2","1","20.0%","4","80.0%","0","0.0%","2","0","0.0%","0","47.9","4","2.8%","8.6%","5.5","80.0%","20.0%","0.0%","0.0%","0.13","1.3","9.4","10.2","1.5","0.15"
"239","Tre' McKitty","LAC","TE","17","190","24.6%","4.7","71","1.0%","15","2.1%","0.08","10","66.7%","72","4.2","1.5%","0.38","4.80","7.20","50","5.00","20","2.00","0","0.0%","2","0","1","0.10","0","2","13.3%","12","80.0%","0","0.0%","0","0","0.0%","0","77.6","2","0.5%","6.7%","-1.9","7.9%","33.2%","58.4%","0.5%","0.09","1.0","17.2","28.0","1.6","0.15"
"240","Andrew Beck","DEN","TE","13","45","9.0%","5.1","51","1.3%","10","2.3%","0.22","5","50.0%","69","5.3","2.3%","1.53","6.90","13.80","48","9.60","9","1.80","0","0.0%","0","0","0","0.00","2","1","10.0%","9","90.0%","1","10.0%","4","1","25.0%","3","72.5","9","3.6%","21.7%","-0.3","4.4%","11.1%","53.3%","31.1%","0.26","0.9","11.9","18.0","1.4","0.39"
"241","Marcedes Lewis","GB","TE","17","73","12.0%","8.7","61","3.0%","7","1.2%","0.10","6","85.7%","66","3.9","1.7%","0.90","9.43","11.00","17","2.83","5","0.83","2","7.4%","2","2","0","0.00","5","0","0.0%","6","85.7%","1","14.3%","2","2","100.0%","0","145.5","4","1.0%","4.4%","1.3","6.8%","5.5%","87.7%","0.0%","0.36","1.6","26.6","17.6","1.0","0.24"
"242","Chris Myarick","NYG","TE","15","56","10.4%","2.8","22","1.8%","8","1.8%","0.14","7","87.5%","65","4.3","2.2%","1.16","8.13","9.29","41","5.86","13","1.86","1","6.7%","1","1","1","0.14","5","1","12.5%","8","100.0%","1","12.5%","2","1","50.0%","0","140.1","3","1.2%","11.0%","1.7","10.7%","8.9%","78.6%","1.8%","0.35","1.3","19.5","14.7","1.0","0.26"
"243","Jalen Guyton","LAC","WR","3","18","13.6%","27.8","111","12.6%","4","3.1%","0.22","2","50.0%","64","21.3","7.0%","3.56","16.00","32.00","8","4.00","1","0.50","0","0.0%","0","0","0","0.00","2","0","0.0%","2","50.0%","0","0.0%","2","1","50.0%","0","95.8","3","4.7%","25.0%","5.3","83.3%","16.7%","0.0%","0.0%","0.47","2.8","8.4","9.3","3.1","0.52"
"244","Armani Rogers","WAS","TE","10","48","12.7%","1.8","11","0.6%","6","1.8%","0.13","5","83.3%","64","6.4","3.0%","1.33","10.67","12.80","57","11.40","19","3.80","0","0.0%","0","0","1","0.20","4","0","0.0%","5","83.3%","2","33.3%","1","0","0.0%","0","111.1","3","1.4%","12.5%","4.5","14.6%","35.4%","43.8%","6.3%","0.29","1.4","14.0","9.3","0.9","0.18"
"245","Jake Kumerow","BUF","WR","6","45","16.5%","10.9","76","4.3%","7","3.0%","0.16","4","57.1%","64","10.7","3.6%","1.42","9.14","16.00","20","5.00","13","3.25","0","0.0%","0","0","0","0.00","4","0","0.0%","4","57.1%","1","14.3%","1","1","100.0%","0","87.8","4","2.7%","14.9%","1.1","86.7%","8.9%","4.4%","0.0%","0.23","1.7","10.4","10.7","1.8","0.24"
"246","James Proche","BLT","WR","15","126","25.1%","9.4","151","2.9%","16","3.7%","0.13","8","50.0%","62","4.1","2.3%","0.49","3.88","7.75","18","2.25","12","1.50","0","0.0%","0","0","0","0.00","3","1","6.3%","11","68.8%","0","0.0%","1","1","100.0%","1","59.9","10","3.5%","15.1%","-3.7","23.0%","77.0%","0.0%","0.0%","0.10","0.9","13.2","27.5","1.8","0.22"
"247","Trent Taylor","CIN","WR","16","68","10.0%","4.4","44","0.8%","10","1.6%","0.15","6","60.0%","62","3.9","1.4%","0.91","6.20","10.33","43","7.17","27","4.50","0","0.0%","0","0","1","0.17","1","0","0.0%","7","70.0%","3","30.0%","3","2","66.7%","0","77.9","6","1.5%","15.9%","-0.4","14.7%","85.3%","0.0%","0.0%","0.19","0.8","12.7","20.1","1.3","0.24"
"248","Shane Zylstra","DET","TE","13","112","23.6%","10.1","151","4.6%","15","3.3%","0.13","11","73.3%","60","4.6","1.8%","0.54","4.00","5.45","10","0.91","-","-","4","16.7%","4","4","0","0.00","6","0","0.0%","11","73.3%","0","0.0%","2","2","100.0%","0","119.4","8","2.8%","13.3%","-3.7","39.3%","34.8%","25.9%","0.0%","0.37","3.2","41.0","32.1","2.5","0.29"
"249","Jamison Crowder","BUF","WR","4","65","33.7%","9.6","115","4.1%","12","7.1%","0.18","6","50.0%","60","15.0","4.9%","0.92","5.00","10.00","32","5.33","9","1.50","0","0.0%","0","0","0","0.00","4","1","8.3%","8","66.7%","1","8.3%","4","1","25.0%","0","29.9","9","8.8%","20.7%","-3.0","13.8%","86.2%","0.0%","0.0%","0.18","3.0","12.0","16.9","4.2","0.26"
"250","Mike Strachan","IND","WR","13","66","12.1%","17.7","159","2.9%","9","1.9%","0.14","3","33.3%","59","4.5","1.9%","0.89","6.56","19.67","11","3.67","4","1.33","0","0.0%","4","0","0","0.00","3","1","11.1%","4","44.4%","0","0.0%","1","0","0.0%","0","57.2","6","2.1%","15.0%","-3.8","92.4%","7.6%","0.0%","0.0%","0.13","0.7","8.9","20.8","1.6","0.31"
"251","D'Wayne Eskridge","SEA","WR","10","89","24.8%","3.7","44","0.8%","12","3.8%","0.13","7","58.3%","58","5.8","2.3%","0.65","4.83","8.29","47","6.71","16","2.29","0","0.0%","0","0","1","0.14","4","0","0.0%","9","75.0%","2","16.7%","1","0","0.0%","0","70.8","9","4.0%","16.2%","-1.4","37.1%","61.8%","1.1%","0.0%","0.16","1.4","13.8","20.0","2.0","0.22"
"252","Geoff Swaim","TEN","TE","17","99","18.7%","1.9","30","0.7%","16","3.5%","0.16","12","75.0%","58","3.4","1.8%","0.59","3.63","4.83","47","3.92","11","0.92","1","6.3%","1","0","0","0.00","4","3","18.8%","15","93.8%","4","25.0%","0","0","0.0%","0","100.5","13","4.4%","11.1%","-2.6","5.1%","20.2%","71.7%","3.0%","0.24","1.4","23.8","27.2","1.6","0.28"
"253","Tyler Kroft","SF","TE","11","55","16.6%","10.2","61","3.5%","6","2.0%","0.11","4","66.7%","57","5.2","2.3%","1.04","9.50","14.25","16","4.00","2","0.50","0","0.0%","0","0","0","0.00","2","0","0.0%","4","66.7%","1","16.7%","0","0","0.0%","0","97.2","4","2.0%","9.8%","1.1","20.0%","18.2%","60.0%","1.8%","0.18","0.9","9.7","13.7","1.2","0.25"
"254","Nick Vannett","NO, NYG","TE","9","77","21.2%","3.3","30","2.0%","9","2.8%","0.12","6","66.7%","55","6.1","2.4%","0.71","6.11","9.17","32","5.33","8","1.33","0","0.0%","0","0","0","0.00","1","1","11.1%","8","88.9%","0","0.0%","2","0","0.0%","0","83.1","3","1.6%","11.7%","-0.2","16.9%","23.4%","58.4%","1.3%","0.15","1.3","11.5","15.7","1.7","0.20"
"255","Cody Hollister","TEN","WR","11","44","14.1%","15.8","79","4.2%","5","1.8%","0.11","3","60.0%","54","4.9","2.5%","1.23","10.80","18.00","8","2.67","2","0.67","0","0.0%","0","0","0","0.00","2","0","0.0%","3","60.0%","0","0.0%","1","1","100.0%","1","57.5","3","1.7%","14.7%","0.5","86.4%","13.6%","0.0%","0.0%","0.19","0.8","8.4","8.1","0.7","0.18"
"256","Gunner Olszewski","PIT","WR","16","77","13.2%","8.8","53","1.9%","6","1.2%","0.08","5","83.3%","53","3.3","1.6%","0.69","8.83","10.60","14","2.80","9","1.80","0","0.0%","1","0","1","0.20","1","0","0.0%","6","100.0%","1","16.7%","0","0","0.0%","1","103.5","5","1.5%","8.6%","1.2","19.5%","77.9%","2.6%","0.0%","0.17","0.8","13.2","13.9","0.9","0.14"
"257","Anthony Schwartz","CLV","WR","10","61","16.1%","14.6","146","1.8%","10","2.9%","0.16","4","40.0%","51","5.1","2.3%","0.84","5.10","12.75","27","6.75","5","1.25","0","0.0%","0","0","1","0.25","2","2","20.0%","7","70.0%","0","0.0%","2","0","0.0%","0","56.7","6","2.6%","19.2%","-3.4","49.2%","50.8%","0.0%","0.0%","0.32","2.0","19.8","17.7","1.8","0.26"
"258","Charlie Kolar","BLT","TE","2","25","34.2%","8.0","48","11.6%","6","9.2%","0.24","4","66.7%","49","24.5","11.8%","1.96","8.17","12.25","22","5.50","8","2.00","0","0.0%","1","0","0","0.00","3","0","0.0%","5","83.3%","0","0.0%","2","1","50.0%","0","91.7","4","9.1%","27.3%","0.6","8.0%","80.0%","12.0%","0.0%","0.36","4.5","8.9","10.4","5.2","0.42"
"259","Chris Conley","TEN, HST","WR","9","72","24.1%","12.6","88","5.4%","7","2.7%","0.10","4","57.1%","46","5.1","3.1%","0.64","6.57","11.50","5","1.25","-","-","0","0.0%","0","0","0","0.00","2","1","14.3%","6","85.7%","0","0.0%","3","2","66.7%","1","77.1","6","3.5%","11.5%","-1.9","83.3%","16.7%","0.0%","0.0%","0.12","1.0","8.6","9.8","1.1","0.14"
